id,Isolation scores,Isolation anomaly identifier,Isolation anomaly category
1,0.014955355366714551,0,not anomaly
2,-0.03614981393310601,1,Anomaly
3,0.1176976415159407,0,not anomaly
4,0.09121730779304077,0,not anomaly
5,0.13013674434704703,0,not anomaly
6,0.13814904688682095,0,not anomaly
7,0.1255788704817935,0,not anomaly
8,0.13621596722283313,0,not anomaly
9,0.04362860924644035,0,not anomaly
10,0.07998635250680347,0,not anomaly
11,0.13602272943354948,0,not anomaly
12,0.07771268199176129,0,not anomaly
13,0.12767723995956248,0,not anomaly
14,0.07679731561022102,0,not anomaly
15,0.1318828361587584,0,not anomaly
16,0.0720286591495009,0,not anomaly
17,0.09492651253704815,0,not anomaly
18,0.10441567845204458,0,not anomaly
19,0.13013674434704703,0,not anomaly
20,0.14042289134616442,0,not anomaly
21,0.07615886116693504,0,not anomaly
22,0.04564076054726163,0,not anomaly
23,0.03564451759293957,0,not anomaly
24,0.0800351655986738,0,not anomaly
25,0.03029432266369414,0,not anomaly
26,0.04626598127266218,0,not anomaly
27,0.14182488309695795,0,not anomaly
28,-0.09591749397916272,1,Anomaly
29,0.11302615912049885,0,not anomaly
30,0.07702518729069391,0,not anomaly
31,0.11093023546869696,0,not anomaly
32,0.10863256258822584,0,not anomaly
33,-0.23353627307502522,1,Anomaly
34,0.1176976415159407,0,not anomaly
35,0.1290113367975107,0,not anomaly
36,0.014165545953154612,0,not anomaly
37,0.11128307693648343,0,not anomaly
38,0.1307968259221634,0,not anomaly
39,-0.01934939996564522,1,Anomaly
40,0.022621420430198935,0,not anomaly
41,-0.0035413864882887225,1,Anomaly
42,-0.008314883846570642,1,Anomaly
43,-0.1501440517442637,1,Anomaly
44,0.028155872080248334,0,not anomaly
45,-0.26991423768581346,1,Anomaly
46,-0.14412869120690008,1,Anomaly
47,-0.14412869120690008,1,Anomaly
